Job Title,Company,Location,Skills,Posted Date
Data Analyst,AppSoft Solutions,Not specified,N/A,Posted today
"Executive Accounts and Finance ,  Tax ,  CS , Audit",Laxmi Infotech,Not specified,N/A,Posted 2 days ago
Medical Data Analyst  ( MDA ),Omega Health Care Management Services Pvt Ltd,Not specified,N/A,few days ago
Medical Data Analyst - Mumbai,Omega Health Care Management Services Pvt Ltd,Not specified,N/A,few days ago
MDM Data Analyst,Techno Wise,Not specified,N/A,a month ago
Data Analyst,SEVEN CONSULTANCY,Not specified,N/A,few days ago
Data Analyst,Analytics Vidhya,Not specified,N/A,6 days ago
Data Analyst,3RI Technologies Pvt Ltd,Not specified,N/A,few days ago
Data Analyst,Analytics Vidhya,Not specified,N/A,6 days ago
Data Analyst,reliance games pvt ltd,Not specified,N/A,few days ago
Data Analyst,SEVEN CONSULTANCY,Not specified,N/A,few days ago
Data Analyst,SEVEN CONSULTANCY,Not specified,N/A,few days ago
Data Analyst,SEVEN CONSULTANCY,Not specified,N/A,few days ago
Data Analyst,SEVEN CONSULTANCY,Not specified,N/A,few days ago
Data Analyst,SEVEN CONSULTANCY,Not specified,N/A,few days ago
Data Analyst,unitedhealth group information services,Not specified,N/A,Posted 2 days ago
Data Analyst,Analytics Vidhya,Not specified,N/A,6 days ago
Data Analyst,BUSISOL SOURCING INDIA PVT. LTD,Not specified,N/A,6 days ago
Data analyst,BUSISOL SOURCING INDIA PVT. LTD,Not specified,N/A,6 days ago
Data Analyst,Analytics Vidhya,Not specified,N/A,6 days ago
Data Analyst,Analytics Vidhya,Not specified,N/A,6 days ago
Data Analyst,advanced risk analytics private limited,Not specified,N/A,6 days ago
Data Analyst,LAKSH HUMAN RESOURCE,Not specified,N/A,few days ago
Data Analyst,SEVEN CONSULTANCY,Not specified,N/A,few days ago
Data Analyst,DecisionTree Analytics and Services,Not specified,N/A,few days ago
